party_id,time,level,job,spec,map,date,valid,valid_spec,spec_by_level,avg_spec_by_level,spec_filled
6,오후 1:24,145,허밋,2700,블와둥,2024-12-18,True,True,18.620689655172413,18.275359578116404,2700.0
24,오후 1:25,116,크루세이더,3900,깊바협,2024-12-18,True,True,33.62068965517241,33.07039004072279,3900.0
29,오후 1:26,147,용기사,5300,협동,2024-12-18,True,True,36.054421768707485,35.41634309736071,5300.0
37,오후 1:26,116,허밋,2100,망용둥,2024-12-18,True,True,18.103448275862068,18.275359578116404,2100.0
47,오후 1:27,145,프리스트,879,큰둥,2024-12-18,True,True,6.062068965517241,6.212909334806281,879.0
59,오후 1:28,129,레인저,2800,망용둥,2024-12-18,True,True,21.705426356589147,21.9448768963404,2800.0
59,오후 1:28,144,허밋,2500,망용둥,2024-12-18,True,True,17.36111111111111,18.275359578116404,2500.0
73,오후 1:29,117,나이트,3600,레와둥,2024-12-18,True,True,30.76923076923077,30.76923076923077,3600.0
75,오후 1:29,115,프리스트,720,검켄,2024-12-18,True,True,6.260869565217392,6.212909334806281,720.0
76,오후 1:29,109,허밋,1890,푸켄,2024-12-18,True,True,17.339449541284402,18.275359578116404,1890.0
77,오후 1:29,120,허밋,2150,망용둥,2024-12-18,True,True,17.916666666666668,18.275359578116404,2150.0
81,오후 1:29,139,허밋,2700,협동,2024-12-18,True,True,19.424460431654676,18.275359578116404,2700.0
104,오후 2:11,158,레인저,3721,망용둥,2024-12-18,True,True,23.550632911392405,21.9448768963404,3721.0
110,오후 2:12,85,크루세이더,2850,듀파,2024-12-18,True,True,33.529411764705884,33.07039004072279,2850.0
115,오후 2:12,107,불독,680,협동,2024-12-18,True,True,6.355140186915888,6.355140186915888,680.0
128,오후 2:13,147,레인저,3389,깊바협,2024-12-18,True,True,23.05442176870748,21.9448768963404,3389.0
131,오후 2:13,82,허밋,1750,붉켄,2024-12-18,True,True,21.341463414634145,18.275359578116404,1750.0
132,오후 2:13,132,허밋,2300,불어전,2024-12-18,True,True,17.424242424242426,18.275359578116404,2300.0
135,오후 2:13,127,허밋,2300,협동,2024-12-18,True,True,18.11023622047244,18.275359578116404,2300.0
150,오후 2:14,113,레인저,2200,듀파,2024-12-18,True,True,19.469026548672566,21.9448768963404,2200.0
150,오후 2:14,99,허밋,1700,듀파,2024-12-18,True,True,17.171717171717173,18.275359578116404,1700.0
150,오후 2:14,86,허밋,1600,듀파,2024-12-18,True,True,18.6046511627907,18.275359578116404,1600.0
152,오후 2:14,114,프리스트,720,망용둥,2024-12-18,True,True,6.315789473684211,6.212909334806281,720.0
