party_id,time,level,job,spec,map,date,valid,valid_spec,spec_by_level,avg_spec_by_level,spec_filled
6,오후 1:12,120,허밋,2100,망용둥,2025-da-ta/txt/1211.txt-12-11,True,True,17.5,18.677386766392306,2100.0
6,오후 1:12,127,썬콜,760,망용둥,2025-da-ta/txt/1211.txt-12-11,True,True,5.984251968503937,6.213098055602696,760.0
6,오후 1:12,116,허밋,2000,망용둥,2025-da-ta/txt/1211.txt-12-11,True,True,17.24137931034483,18.677386766392306,2000.0
16,오후 1:12,135,허밋,2620,망용둥,2025-da-ta/txt/1211.txt-12-11,True,True,19.40740740740741,18.677386766392306,2620.0
17,오후 1:12,145,허밋,2800,망용둥,2025-da-ta/txt/1211.txt-12-11,True,True,19.310344827586206,18.677386766392306,2800.0
18,오후 1:12,99,레인저,2080,듀파,2025-da-ta/txt/1211.txt-12-11,True,True,21.01010101010101,21.2062675111966,2080.0
24,오후 1:13,164,허밋,3200,협동,2025-da-ta/txt/1211.txt-12-11,True,True,19.51219512195122,18.677386766392306,3200.0
24,오후 1:13,114,용기사,4100,협동,2025-da-ta/txt/1211.txt-12-11,True,True,35.96491228070175,35.816407931996146,4100.0
24,오후 1:13,126,불독,780,협동,2025-da-ta/txt/1211.txt-12-11,True,True,6.190476190476191,6.315577078288943,780.0
24,오후 1:13,118,불독,760,협동,2025-da-ta/txt/1211.txt-12-11,True,True,6.440677966101695,6.315577078288943,760.0
60,오후 1:15,120,썬콜,780,레와둥,2025-da-ta/txt/1211.txt-12-11,True,True,6.5,6.213098055602696,780.0
75,오후 1:16,144,크루세이더,4500,깊바협,2025-da-ta/txt/1211.txt-12-11,True,True,31.25,32.36149261669769,4500.0
75,오후 1:16,162,크루세이더,5500,깊바협,2025-da-ta/txt/1211.txt-12-11,True,True,33.95061728395062,32.36149261669769,5500.0
89,오후 1:16,137,나이트,4100,불어전,2025-da-ta/txt/1211.txt-12-11,True,True,29.927007299270073,30.412221598352986,4100.0
98,오후 1:16,140,허밋,2500,불어전,2025-da-ta/txt/1211.txt-12-11,True,True,17.857142857142858,18.677386766392306,2500.0
111,오후 1:32,102,레인저,2100,듀파,2025-da-ta/txt/1211.txt-12-11,True,True,20.58823529411765,21.2062675111966,2100.0
111,오후 1:32,101,크루세이더,3415,듀파,2025-da-ta/txt/1211.txt-12-11,True,True,33.81188118811881,32.36149261669769,3415.0
133,오후 1:33,156,나이트,4820,협동,2025-da-ta/txt/1211.txt-12-11,True,True,30.897435897435898,30.412221598352986,4820.0
151,오후 1:34,146,허밋,2700,망용둥,2025-da-ta/txt/1211.txt-12-11,True,True,18.493150684931507,18.677386766392306,2700.0
169,오후 1:34,164,허밋,3250,협동,2025-da-ta/txt/1211.txt-12-11,True,True,19.817073170731707,18.677386766392306,3250.0
181,오후 1:35,166,썬콜,1011,망용둥,2025-da-ta/txt/1211.txt-12-11,True,True,6.090361445783133,6.213098055602696,1011.0
282,오후 1:37,130,크루세이더,4100,블와둥,2025-da-ta/txt/1211.txt-12-11,True,True,31.53846153846154,32.36149261669769,4100.0
285,오후 1:37,178,프리스트,1100,큰둥,2025-da-ta/txt/1211.txt-12-11,True,True,6.179775280898877,6.206756507430539,1100.0
288,오후 1:37,152,프리스트,935,큰둥,2025-da-ta/txt/1211.txt-12-11,True,True,6.151315789473684,6.206756507430539,935.0
289,오후 1:37,111,허밋,2100,갈림길,2025-da-ta/txt/1211.txt-12-11,True,True,18.91891891891892,18.677386766392306,2100.0
375,오후 1:38,139,썬콜,870,협동,2025-da-ta/txt/1211.txt-12-11,True,True,6.258992805755396,6.213098055602696,870.0
498,오후 1:41,144,용기사,5330,협동,2025-da-ta/txt/1211.txt-12-11,True,True,37.013888888888886,35.816407931996146,5330.0
505,오후 2:02,93,허밋,1672,듀파,2025-da-ta/txt/1211.txt-12-11,True,True,17.978494623655912,18.677386766392306,1672.0
549,오후 2:04,143,허밋,2700,망용둥,2025-da-ta/txt/1211.txt-12-11,True,True,18.88111888111888,18.677386766392306,2700.0
553,오후 2:04,115,레인저,2500,오징어,2025-da-ta/txt/1211.txt-12-11,True,True,21.73913043478261,21.2062675111966,2500.0
553,오후 2:04,105,허밋,1800,오징어,2025-da-ta/txt/1211.txt-12-11,True,True,17.142857142857142,18.677386766392306,1800.0
558,오후 2:04,138,썬콜,860,망용둥,2025-da-ta/txt/1211.txt-12-11,True,True,6.231884057971015,6.213098055602696,860.0
590,오후 2:06,123,프리스트,775,불어전,2025-da-ta/txt/1211.txt-12-11,True,True,6.300813008130081,6.206756507430539,775.0
595,오후 2:07,113,허밋,2130,갈림길,2025-da-ta/txt/1211.txt-12-11,True,True,18.849557522123895,18.677386766392306,2130.0
599,오후 2:07,123,프리스트,762,검켄,2025-da-ta/txt/1211.txt-12-11,True,True,6.195121951219512,6.206756507430539,762.0
